Lat,Long,pref_name_for_society,soc_id,Community marriage organization,Cousin marriages permitted,Cousin marriages permitted: subtypes,Cousin marriages preferred,Cousin marriages preferred: subtypes,Domestic organization,Marital composition: monogamy and polygamy,Marital residence with kin: alternate,Marital residence with kin: change after first years,Marital residence with kin: first years,Marital residence with kin: prevailing pattern,Organization of clan communities,Transactions at marriage: alternate type,Transactions at marriage: prevailing type,Transfer of residence at marriage: alternate,Transfer of residence at marriage: prevailing pattern,Community marriage organization_numeric,Cousin marriages permitted_numeric,Cousin marriages permitted: subtypes_numeric,Cousin marriages preferred_numeric,Cousin marriages preferred: subtypes_numeric,Domestic organization_numeric,Marital composition: monogamy and polygamy_numeric,Marital residence with kin: alternate_numeric,Marital residence with kin: change after first years_numeric,Marital residence with kin: first years_numeric,Marital residence with kin: prevailing pattern_numeric,Organization of clan communities_numeric,Transactions at marriage: alternate type_numeric,Transactions at marriage: prevailing type_numeric,Transfer of residence at marriage: alternate_numeric,Transfer of residence at marriage: prevailing pattern_numeric
11.0,76.0,Kerala,Eg6,Agamous,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,Large extended,Limited polygyny,No alternate,Same,Separate,Separate,No exogamous clans,No alternate,Insignificant,No alternate,Separate,0,1,0,4,3,0,0,6,1,9,9,2,4,4,2,2
11.0,79.0,Tamil,Eg2,Agamous,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Dowry,No alternate,Wife to husband,0,1,0,3,0,7,0,6,1,8,8,2,4,2,2,3
11.0,108.0,Cham,Ej11,Agamous,No first cousins,No first cousins,None preferred,None preferred,Minimal extended,Limited polygyny,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Husband to wife,0,4,1,7,4,1,0,6,1,6,6,2,4,5,2,1
11.7,165.29,Bikinians,If12,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,Monogamous,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Insignificant,No alternate,Husband to wife,5,1,0,3,0,7,1,6,1,6,6,2,4,4,2,1
12.0,-72.0,Wayuu,Sb6,Agamous,Trilateral,Trilateral,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Different,Uxorilocal,Avunculocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,10,6,7,4,7,4,6,0,10,5,2,4,1,2,3
12.0,-2.0,Mossi (Ouagadougou),Ag47,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Avunculocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,5,2,7,4,6,4,3,1,8,8,2,4,1,2,3
12.0,0.0,Bisa,Ag53,Clans,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, atypical cowives pattern","Polygyny, sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans with barrios,Bride-service,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,5,6,6,1,8,8,1,0,1,2,3
12.0,2.0,Gurma,Ag45,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,Ambi/neo-local,Wife to husband,5,4,1,7,4,7,4,5,1,8,8,2,4,5,0,3
12.0,9.0,Hausa Kanawa,Cb9,"Segmented, no exogamy",Any first cousins,Quadrilateral,All: FaBrDa,FaBrDa,Small extended,"Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,5,0,4,0,1,7,4,5,1,8,8,2,4,1,0,3
12.0,10.0,Maguzawa,Cb1,Agamous,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,1,0,4,3,0,4,6,1,8,8,2,4,1,2,3
12.0,11.0,Karekare,Cb10,Clans,No first cousins,No first cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Different,Uxorilocal,Patrilocal,Clans with barrios,Bride-service,Bride-wealth,No alternate,Wife to husband,1,4,1,7,4,7,4,6,0,10,8,1,0,1,2,3
12.0,12.0,Wodaabe Fulani,Cb24,Demes,Any first cousins,Quadrilateral,All: FaBrDa,FaBrDa,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Different,Separate,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,2,0,4,0,1,6,4,6,0,9,8,2,4,1,2,3
12.0,13.0,Kanuri,Cb19,"Segmented, no exogamy",Trilateral,Trilateral,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,5,10,6,7,4,6,4,5,1,11,11,2,4,1,0,3
12.0,24.0,Fur,Cb17,Exogamous,No first cousins,No first cousins,None preferred,None preferred,Large extended,Limited polygyny,No alternate,Same,Separate,Separate,No exogamous clans,No alternate,Bride-wealth,No alternate,Separate,3,4,1,7,4,0,0,6,1,9,9,2,4,1,2,2
12.0,29.0,Nyimang,Ai43,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,Bride-service,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,6,4,6,1,8,8,2,0,1,2,3
12.0,29.0,Tullishi,Ai42,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,2,0,6,1,8,8,2,4,1,2,3
12.0,30.0,Dilling,Ai8,"Segmented, no exogamy",Cross-cousin,Duolateral,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Different,Uxorilocal,Patrilocal,No exogamous clans,Bride-service,Bride-wealth,Ambi/neo-local,Wife to husband,5,1,0,7,4,6,4,5,0,10,8,2,0,1,0,3
12.0,31.0,Koalib,Ai37,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,4,1,7,4,0,4,6,1,8,8,2,4,1,2,3
12.0,31.0,Otoro,Ai10,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,5,4,1,7,4,6,4,5,1,8,8,2,4,1,0,3
12.0,42.0,Afar,Ca6,Clans,Any first cousins,Quadrilateral,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,0,4,7,4,7,4,6,1,8,8,0,4,1,2,3
12.0,76.0,Kodavas,Eg5,"Segmented, exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,Monogamous,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Insignificant,No alternate,Wife to husband,4,1,0,3,0,7,1,6,1,8,8,2,4,4,2,3
12.0,77.0,Toda,Eg4,Clans,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Polyandrous,Polyandrous,No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Token bride-wealth,No alternate,Wife to husband,1,1,0,3,0,4,2,6,1,8,8,0,4,5,2,3
12.0,93.0,Andamanese,Eh1,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,4,1,7,4,3,1,6,1,2,2,2,4,4,2,0
12.0,105.0,Khmer,Ej5,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Ambilocal,Different,Uxorilocal,Neolocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Ambi/neo-local,0,0,4,7,4,2,0,0,0,10,7,2,4,1,2,0
12.0,107.0,Mnong Gar,Ej2,"Segmented, no exogamy",Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Gift exchange,No alternate,Husband to wife,5,3,7,14,3,2,0,6,1,6,6,2,4,3,2,1
13.0,-13.0,Coniagui,Ag8,Agamous,Trilateral,Trilateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Virilocal,Different,Virilocal,Avunculocal,No exogamous clans,Token bride-wealth,Bride-service,No alternate,Wife to husband,0,10,6,7,4,2,0,10,0,11,5,2,5,0,2,3
13.0,-7.0,Bambara,Ag1,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,Bride-service,Bride-wealth,No alternate,Wife to husband,5,1,0,4,3,0,4,6,1,8,8,2,0,1,2,3
13.0,-2.0,Mossi (Yatenga),Ag2,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,5,2,7,4,0,4,6,1,8,8,2,4,1,2,3
13.0,5.0,Bororo Fulani,Cb8,Exogamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,3,4,1,7,4,6,4,6,1,11,11,2,4,1,2,3
13.0,15.0,Shuwa,Cb16,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,"Polygyny, atypical cowives pattern","Polygyny, non-sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,0,4,7,4,5,3,6,1,8,8,2,4,1,2,3
13.0,38.0,Amhara,Ca7,Exogamous,No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,Monogamous,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Insignificant,Husband to wife,Ambi/neo-local,3,5,2,7,4,0,1,9,1,1,1,2,4,4,1,0
13.0,108.0,Rade,Ej10,"Segmented, no exogamy",Cross-cousin,Duolateral,None preferred,None preferred,Large extended,Limited polygyny,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Dowry,No alternate,Husband to wife,5,1,0,7,4,0,0,6,1,6,6,2,4,2,2,1
13.0,121.0,Hanunoo,Ia5,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Virilocal,Same,Ambi-uxo,Ambi-uxo,No exogamous clans,No alternate,Bride-service,Wife to husband,Ambi/neo-local,0,5,2,7,4,2,0,10,1,0,0,2,4,0,4,0
14.0,-89.0,Ch'orti',Sa3,Exogamous,Only second cousins,Only second cousins,None preferred,None preferred,Small extended,Monogamous,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Bride-service,No alternate,Ambi/neo-local,3,6,3,7,4,7,1,6,1,2,2,2,4,0,2,0
14.0,-12.0,Serer,Ag22,Agamous,Cross-cousin,Duolateral,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",Avunculocal,Same,Patrilocal,Patrilocal,No exogamous clans,Bride-service,Bride-wealth,No alternate,Wife to husband,0,1,0,7,4,0,4,3,1,8,8,2,0,1,2,3
14.0,0.0,Liptako,Cb22,"Segmented, no exogamy",Any first cousins,Quadrilateral,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,0,4,7,4,0,4,6,1,8,8,2,4,1,2,3
14.0,8.0,Tazarawa Hausa,Cb25,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,0,4,7,4,0,4,6,1,8,8,2,4,1,2,3
14.0,14.0,Kanembu,Cb18,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,Large extended,"Polygyny, non-sororal cohabit",No alternate,Same,Virilocal,Virilocal,No exogamous clans,Dowry,Gift exchange,No alternate,Wife to husband,0,0,4,7,4,0,3,6,1,11,11,2,2,3,2,3
14.0,32.0,Hasania,Cb4,Agamous,Any first cousins,Quadrilateral,All: FaBrDa,FaBrDa,"Polygyny, atypical cowives pattern","Polygyny, non-sororal cohabit",No alternate,Different,Uxorilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,0,4,0,1,5,3,6,0,10,8,2,4,1,2,3
14.0,39.0,Tigrinya,Ca3,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Different,Separate,Patrilocal,No exogamous clans,No alternate,Dowry,No alternate,Wife to husband,0,5,2,7,4,3,1,6,0,9,8,2,4,2,2,3
14.766,-84.089,Miskito,Sa9,Agamous,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Large extended,Limited polygyny,Neolocal,Same,Uxorilocal,Uxorilocal,No exogamous clans,Bride-service,Token bride-wealth,Ambi/neo-local,Husband to wife,0,1,0,3,0,0,0,5,1,10,10,2,0,5,0,1
15.0,-92.0,Mam,Sa8,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,Small extended,Monogamous,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Wife to husband,5,5,2,7,4,7,1,6,1,8,8,2,4,5,2,3
15.0,-91.0,K'iche',Sa13,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Wife to husband,5,4,1,7,4,2,0,6,1,8,8,2,4,5,2,3
15.0,-91.0,Poqomam,Sa17,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Insignificant,Ambi/neo-local,Wife to husband,5,4,1,7,4,3,1,5,1,8,8,2,4,4,0,3
15.0,-17.0,Wolof,Cb2,Clans,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Small extended,"Polygyny, non-sororal separate quarters",Avunculocal,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,1,0,3,0,7,4,3,1,8,8,0,4,1,2,3
15.0,-13.0,Susu,Ag26,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Large extended,"Polygyny, non-sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,1,0,3,0,0,3,6,1,8,8,2,4,1,2,3
15.0,-3.0,Dogon,Ag3,"Segmented, exogamy",No first cousins,No first cousins,None preferred,None preferred,Large extended,Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,Token bride-wealth,Bride-service,No alternate,Wife to husband,4,4,1,7,4,0,0,6,1,8,8,2,5,0,2,3
15.0,10.0,Soninke,Ag25,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,0,4,7,4,7,4,6,1,8,8,2,4,1,2,3
15.0,100.0,Thai,Ej9,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Different,Ambilocal,Neolocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Ambi/neo-local,0,0,4,7,4,2,0,6,0,2,7,2,4,5,2,0
15.13,145.71,Chamorro,If8,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Same,Neolocal,Neolocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,5,2,7,4,3,1,6,1,7,7,2,4,4,2,0
15.21,145.76,Carolinians,If15,"Segmented, no exogamy",No first/second cousins,No first/second cousins,None preferred,None preferred,Large extended,Monogamous,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Insignificant,No alternate,Husband to wife,5,5,2,7,4,0,1,6,1,6,6,2,4,4,2,1
15.41,-61.27,Callinago,Sb1,"Segmented, no exogamy",Cross-cousin,Duolateral,Cross-cousin: patri,FaSiDa,Large extended,Limited polygyny,No alternate,Same,Matrilocal,Matrilocal,No exogamous clans,No alternate,Bride-service,No alternate,Husband to wife,5,1,0,5,2,0,0,6,1,6,6,2,4,0,2,1
16.0,-89.0,Garifuna,Sa7,Agamous,Cross-cousin,Duolateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Separate,Same,Neolocal,Neolocal,No exogamous clans,No alternate,Insignificant,Separate,Ambi/neo-local,0,1,0,7,4,2,0,8,1,7,7,2,4,4,3,0
16.0,0.0,Udalan Tuareg,Cc13,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Virilocal,Different,Virilocal,Avunculocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,0,4,7,4,3,1,10,0,11,5,2,4,1,2,3
16.0,79.0,Chenchu,Eg1,Exogamous,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,"Nuclear, monogamous",Monogamous,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Ambi/neo-local,3,1,0,4,3,3,1,6,1,2,2,2,4,5,2,0
16.22,-95.02,Huave,Nj6,Demes,No first cousins,No first cousins,None preferred,None preferred,Small extended,Monogamous,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Insignificant,Husband to wife,Ambi/neo-local,2,4,1,7,4,7,1,9,1,1,1,2,4,4,1,0
17.0,-96.0,Zapotec,Nj10,Demes,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Neolocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Insignificant,Ambi/neo-local,Wife to husband,2,4,1,7,4,3,1,5,1,11,11,2,4,4,0,3
17.0,-92.0,Tzeltal,Sa2,Agamous,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,Small extended,Limited polygyny,No alternate,Different,Uxorilocal,Patrilocal,No exogamous clans,Token bride-wealth,Bride-service,No alternate,Wife to husband,0,1,0,4,3,7,0,6,0,10,8,2,5,0,2,3
17.0,-1.0,Songhai,Cb3,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,0,0,4,7,4,2,0,5,1,8,8,2,4,1,0,3
17.0,11.0,Tigon,Ah25,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,Large extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,5,4,1,7,4,0,4,6,1,8,8,2,4,1,2,3
17.0,18.0,Daza,Cc14,Exogamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Different,Uxorilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,3,5,2,7,4,2,0,6,0,10,8,2,4,1,2,3
17.0,39.0,Tigre,Ca38,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,0,4,7,4,2,0,6,1,8,8,2,4,1,2,3
17.0,107.0,Annamese,Ej4,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Wife to husband,5,4,1,7,4,7,3,6,1,8,8,2,4,5,2,3
17.0,121.0,Bontok,Ia8,Demes,Only second cousins,Only second cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Uxorilocal,Same,Ambi-viri,Ambi-viri,No exogamous clans,No alternate,Bride-service,Husband to wife,Ambi/neo-local,2,6,3,7,4,3,1,9,1,1,1,2,4,0,1,0
17.0,121.0,Ifugao,Ia3,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Ambi/neo-local,0,5,2,7,4,3,1,6,1,2,2,2,4,1,2,0
17.0,121.0,Sagada,Ia2,Agamous,Only second cousins,Only second cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Gift exchange,No alternate,Ambi/neo-local,0,6,3,7,4,3,1,6,1,2,2,2,4,3,2,0
17.12,97.19,Karen,Ei7,Agamous,Only second cousins,Only second cousins,None preferred,None preferred,"Nuclear, monogamous",Monogamous,No alternate,Same,Uxorilocal,Uxorilocal,No exogamous clans,No alternate,Insignificant,No alternate,Husband to wife,0,6,3,7,4,3,1,6,1,10,10,2,4,4,2,1
18.0,-97.0,Mazateco,Nj5,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Insignificant,No alternate,Wife to husband,0,5,2,7,4,2,0,6,1,11,11,2,4,4,2,3
18.0,-96.0,Chinantec,Nj1,Demes,No first/second cousins,No first/second cousins,None preferred,None preferred,Minimal extended,Monogamous,No alternate,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Insignificant,No alternate,Wife to husband,2,5,2,7,4,1,1,6,1,11,11,2,4,4,2,3
18.0,-90.0,Yucatec Maya,Sa6,Agamous,Maternal only,Duolateral,None preferred,None preferred,"Nuclear, monogamous",Monogamous,Neolocal,Different,Uxorilocal,Virilocal,No exogamous clans,Token bride-wealth,Bride-service,Ambi/neo-local,Wife to husband,0,2,0,7,4,3,1,5,0,10,11,2,5,0,0,3
18.0,-3.0,Kel Antessar,Cc5,Agamous,Any first cousins,Quadrilateral,All: cross,Cross-cousin,"Nuclear, monogamous",Monogamous,Avunculocal,Same,Virilocal,Virilocal,No exogamous clans,Dowry,Bride-wealth,No alternate,Wife to husband,0,0,4,1,0,3,1,3,1,11,11,2,2,1,2,3
18.0,8.0,Asben,Cc10,Agamous,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,"Nuclear, limited polygyny",Limited polygyny,Avunculocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,1,0,4,3,2,0,3,1,11,11,2,4,1,2,3
18.0,38.0,Beni-Amer,Ca36,Agamous,Any first cousins,Quadrilateral,All: FaBrDa,FaBrDa,Small extended,Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,0,4,0,1,7,0,6,1,8,8,2,4,1,2,3
18.0,79.0,Telugu,Eg10,Agamous,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,Small extended,Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Dowry,No alternate,Wife to husband,0,1,0,4,3,7,0,6,1,8,8,2,4,2,2,3
18.0,82.0,Khond,Eg12,Clans,Cross-cousin,Duolateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,1,0,7,4,2,0,6,1,8,8,0,4,1,2,3
18.0,82.0,Reddi,Eg14,Agamous,Cross-cousin,Duolateral,Cross-cousin: matri,MoBrDa,"Nuclear, limited polygyny",Limited polygyny,Uxorilocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Token bride-wealth,Husband to wife,Wife to husband,0,1,0,4,3,2,0,9,1,8,8,2,4,5,1,3
18.0,98.0,Lawa,Ej12,"Segmented, no exogamy",Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,Minimal extended,Monogamous,Uxorilocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Husband to wife,Wife to husband,5,3,7,14,3,1,1,9,1,8,8,2,4,1,1,3
18.0,121.0,Kalinga,Ia16,Agamous,Only second cousins,Only second cousins,None preferred,None preferred,Small extended,Monogamous,Neolocal,Same,Uxorilocal,Uxorilocal,No exogamous clans,No alternate,Insignificant,Ambi/neo-local,Husband to wife,0,6,3,7,4,7,1,5,1,10,10,2,4,4,0,1
18.41,-72.17,Haitians,Sb9,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Neolocal,Neolocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,4,1,7,4,2,0,6,1,7,7,2,4,4,2,0
19.0,-101.0,Tarasco,Nj8,"Segmented, no exogamy",Any first cousins,Quadrilateral,None preferred,None preferred,Small extended,Limited polygyny,No alternate,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Insignificant,No alternate,Wife to husband,5,0,4,7,4,7,0,6,1,11,11,2,4,4,2,3
19.0,-99.0,Aztec,Nj2,"Segmented, no exogamy",No first cousins,No first cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Token bride-wealth,No alternate,Wife to husband,5,4,1,7,4,2,0,6,1,11,11,2,4,5,2,3
19.0,-98.0,Tlaxcalans,Nj9,Clans,No first cousins,No first cousins,None preferred,None preferred,Small extended,Limited polygyny,No alternate,Same,Virilocal,Virilocal,Clans,No alternate,Insignificant,No alternate,Wife to husband,1,4,1,7,4,7,0,6,1,11,11,0,4,4,2,3
19.0,81.0,Madia,Eg3,Clans,Cross-cousin,Duolateral,Cross-cousin: either,Cross-cousin,Large extended,"Polygyny, sororal cohabit",No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Bride-wealth,No alternate,Wife to husband,1,1,0,3,0,0,5,6,1,8,8,0,4,1,2,3
19.89,-155.83,Hawaiians,Ij6,"Segmented, no exogamy",Only second cousins,Only second cousins,None preferred,None preferred,Large extended,Limited polygyny,No alternate,Same,Ambilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,5,6,3,7,4,0,0,6,1,2,2,2,4,4,2,0
